input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
A0101KPN.tsv.amrfinderplus	pcoR	copper response regulator transcription factor PcoR	NCBI Reference Gene Database	2023-11-15.1	CAA58529.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				226													226					100.0
A0101KPN.tsv.amrfinderplus	pcoS	copper resistance membrane spanning protein PcoS	NCBI Reference Gene Database	2023-11-15.1	CAA58530.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				466													466					99.14
A0101KPN.tsv.amrfinderplus	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	NCBI Reference Gene Database	2023-11-15.1	WP_014386481.1	amrfinderplus	3.11.18	gene_presence_detected	QUINOLONE	100.0			QUINOLONE				214													214					100.0
A0101KPN.tsv.amrfinderplus	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NCBI Reference Gene Database	2023-11-15.1	AAD11749.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				1048													1048					98.85
A0101KPN.tsv.amrfinderplus	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NCBI Reference Gene Database	2023-11-15.1	AAD11748.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				430													430					97.91
A0101KPN.tsv.amrfinderplus	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NCBI Reference Gene Database	2023-11-15.1	SPD96884.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				461													461					100.0
A0101KPN.tsv.amrfinderplus	silE	silver-binding protein SilE	NCBI Reference Gene Database	2023-11-15.1	AAD11743.1	amrfinderplus	3.11.18	gene_presence_detected	SILVER	100.0			SILVER				143													143					91.61
A0101KPN.tsv.amrfinderplus	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NCBI Reference Gene Database	2023-11-15.1	KGL71342.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				117													117					99.15
A0101KPN.tsv.amrfinderplus	silP	Ag(+)-translocating P-type ATPase SilP	NCBI Reference Gene Database	2023-11-15.1	AAD11750.1	amrfinderplus	3.11.18	gene_presence_detected	SILVER	99.64			SILVER				824													824					94.18
A0101KPN.tsv.amrfinderplus	silR	copper/silver response regulator transcription factor SilR	NCBI Reference Gene Database	2023-11-15.1	SPD96883.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				226													226					100.0
A0101KPN.tsv.amrfinderplus	silS	copper/silver sensor histidine kinase SilS	NCBI Reference Gene Database	2023-11-15.1	SPD96882.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				491													491					100.0
A0101KPN.tsv.amrfinderplus	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	NCBI Reference Gene Database	2023-11-15.1	WP_001043260.1	amrfinderplus	3.11.18	gene_presence_detected	SULFONAMIDE	100.0			SULFONAMIDE				271													271					100.0
A0102KPN.tsv.amrfinderplus	blaOXA-48	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48	NCBI Reference Gene Database	2023-11-15.1	WP_015059991.1	amrfinderplus	3.11.18	gene_presence_detected	CARBAPENEM	100.0			BETA-LACTAM				265													265					100.0
A0102KPN.tsv.amrfinderplus	blaSHV-28	broad-spectrum class A beta-lactamase SHV-28	NCBI Reference Gene Database	2023-11-15.1	WP_004179754.1	amrfinderplus	3.11.18	gene_presence_detected	BETA-LACTAM	100.0			BETA-LACTAM				286													286					100.0
A0102KPN.tsv.amrfinderplus	emrD	multidrug efflux MFS transporter EmrD	NCBI Reference Gene Database	2023-11-15.1	ACN65732.1	amrfinderplus	3.11.18	gene_presence_detected	EFFLUX	100.0			EFFLUX				394													394					99.24
A0102KPN.tsv.amrfinderplus	fieF	CDF family cation-efflux transporter FieF	NCBI Reference Gene Database	2023-11-15.1	BAB89353.1	amrfinderplus	3.11.18	gene_presence_detected		100.0							300													300					100.0
A0102KPN.tsv.amrfinderplus	fosA	FosA5 family fosfomycin resistance glutathione transferase	NCBI Reference Gene Database	2023-11-15.1	WP_004146118.1	amrfinderplus	3.11.18	gene_presence_detected	FOSFOMYCIN	100.0			FOSFOMYCIN				139													139					100.0
A0102KPN.tsv.amrfinderplus	kdeA	multidrug efflux MFS transporter KdeA	NCBI Reference Gene Database	2023-11-15.1	ABR76310.1	amrfinderplus	3.11.18	gene_presence_detected	EFFLUX	100.0			EFFLUX				410													410					99.76
A0102KPN.tsv.amrfinderplus	ncrA	Metal Resistance	NCBI Reference Gene Database	2023-11-15.1	ABF61434.1	amrfinderplus	3.11.18	gene_presence_detected	NICKEL	100.0			NICKEL				432													432					100.0
A0102KPN.tsv.amrfinderplus	ncrB	nickel-sensing transcriptional repressor NcrB	NCBI Reference Gene Database	2023-11-15.1	ABF61435.1	amrfinderplus	3.11.18	gene_presence_detected	NICKEL	100.0			NICKEL				89													89					100.0
A0102KPN.tsv.amrfinderplus	ncrC	Ni(II)/Co(II) efflux transporter permease subunit NcrC	NCBI Reference Gene Database	2023-11-15.1	ADF64798.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/NICKEL	100.0			COPPER/NICKEL				376													376					100.0
A0102KPN.tsv.amrfinderplus	ncrY	nickel resistance OB fold protein NcrY	NCBI Reference Gene Database	2023-11-15.1	ABF61437.1	amrfinderplus	3.11.18	gene_presence_detected	NICKEL	100.0			NICKEL				140													140					100.0
A0102KPN.tsv.amrfinderplus	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NCBI Reference Gene Database	2023-11-15.1	WP_002914189.1	amrfinderplus	3.11.18	gene_presence_detected	PHENICOL/QUINOLONE	100.0			PHENICOL/QUINOLONE				391													391					100.0
A0102KPN.tsv.amrfinderplus	oqxB19	multidrug efflux RND transporter permease subunit OqxB19	NCBI Reference Gene Database	2023-11-15.1	WP_004149399.1	amrfinderplus	3.11.18	gene_presence_detected	PHENICOL/QUINOLONE	100.0			PHENICOL/QUINOLONE				1050													1050					100.0
A0102KPN.tsv.amrfinderplus	terB	tellurium resistance membrane protein TerB	NCBI Reference Gene Database	2023-11-15.1	ACI12150.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				151													151					100.0
A0102KPN.tsv.amrfinderplus	terC	tellurium resistance membrane protein TerC	NCBI Reference Gene Database	2023-11-15.1	AAA98291.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				346													346					99.13
A0102KPN.tsv.amrfinderplus	terD	tellurium resistance membrane protein TerD	NCBI Reference Gene Database	2023-11-15.1	AAA98292.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				192													192					98.44
A0102KPN.tsv.amrfinderplus	terE	tellurium resistance cAMP binding protein TerE	NCBI Reference Gene Database	2023-11-15.1	AAA98293.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				191													191					98.95
A0103KPN.tsv.amrfinderplus	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	NCBI Reference Gene Database	2023-11-15.1	WP_063840321.1	amrfinderplus	3.11.18	gene_presence_detected	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	100.0			AMINOGLYCOSIDE/QUINOLONE				184													184					100.0
A0103KPN.tsv.amrfinderplus	arsA	arsenite efflux transporter ATPase subunit ArsA	NCBI Reference Gene Database	2023-11-15.1	BAA24822.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENITE	100.0			ARSENIC				583													583					100.0
A0103KPN.tsv.amrfinderplus	arsB	arsenite efflux transporter membrane subunit ArsB	NCBI Reference Gene Database	2023-11-15.1	BAA24823.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENITE	100.0			ARSENIC				429													429					100.0
A0103KPN.tsv.amrfinderplus	arsC	glutaredoxin-dependent arsenate reductase	NCBI Reference Gene Database	2023-11-15.1	BAA24824.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENATE	100.0			ARSENIC				141													141					100.0
A0103KPN.tsv.amrfinderplus	arsD	arsenite efflux transporter metallochaperone ArsD	NCBI Reference Gene Database	2023-11-15.1	AAB09625.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENITE	100.0			ARSENIC				120													120					91.67
A0103KPN.tsv.amrfinderplus	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NCBI Reference Gene Database	2023-11-15.1	AET17094.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENIC	100.0			ARSENIC				116													116					100.0
A0103KPN.tsv.amrfinderplus	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	NCBI Reference Gene Database	2023-11-15.1	WP_001334766.1	amrfinderplus	3.11.18	gene_presence_detected	CEPHALOSPORIN	100.0			BETA-LACTAM				276													276					100.0
A0103KPN.tsv.amrfinderplus	blaOXA-48	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48	NCBI Reference Gene Database	2023-11-15.1	WP_015059991.1	amrfinderplus	3.11.18	gene_presence_detected	CARBAPENEM	100.0			BETA-LACTAM				265													265					100.0
A0103KPN.tsv.amrfinderplus	blaSHV-28	broad-spectrum class A beta-lactamase SHV-28	NCBI Reference Gene Database	2023-11-15.1	WP_004179754.1	amrfinderplus	3.11.18	gene_presence_detected	BETA-LACTAM	100.0			BETA-LACTAM				286													286					100.0
A0103KPN.tsv.amrfinderplus	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	NCBI Reference Gene Database	2023-11-15.1	WP_000186237.1	amrfinderplus	3.11.18	gene_presence_detected	CHLORAMPHENICOL	70.0			PHENICOL				147													210					100.0
A0103KPN.tsv.amrfinderplus	clpK	heat shock survival AAA family ATPase ClpK	NCBI Reference Gene Database	2023-11-15.1	ASF80763.1	amrfinderplus	3.11.18	gene_presence_detected		97.89							929													949					99.25
A0103KPN.tsv.amrfinderplus	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	NCBI Reference Gene Database	2023-11-15.1	WP_004201280.1	amrfinderplus	3.11.18	gene_presence_detected	TRIMETHOPRIM	100.0			TRIMETHOPRIM				157													157					100.0
A0103KPN.tsv.amrfinderplus	emrD	multidrug efflux MFS transporter EmrD	NCBI Reference Gene Database	2023-11-15.1	ACN65732.1	amrfinderplus	3.11.18	gene_presence_detected	EFFLUX	100.0			EFFLUX				394													394					99.24
A0103KPN.tsv.amrfinderplus	fieF	CDF family cation-efflux transporter FieF	NCBI Reference Gene Database	2023-11-15.1	BAB89353.1	amrfinderplus	3.11.18	gene_presence_detected		100.0							300													300					100.0
A0103KPN.tsv.amrfinderplus	fosA	FosA5 family fosfomycin resistance glutathione transferase	NCBI Reference Gene Database	2023-11-15.1	WP_004146118.1	amrfinderplus	3.11.18	gene_presence_detected	FOSFOMYCIN	100.0			FOSFOMYCIN				139													139					100.0
A0103KPN.tsv.amrfinderplus	hsp20	small heat shock protein sHSP20	NCBI Reference Gene Database	2023-11-15.1	CDY80020.1	amrfinderplus	3.11.18	gene_presence_detected		100.0							189													189					100.0
A0103KPN.tsv.amrfinderplus	kdeA	multidrug efflux MFS transporter KdeA	NCBI Reference Gene Database	2023-11-15.1	ABR76310.1	amrfinderplus	3.11.18	gene_presence_detected	EFFLUX	100.0			EFFLUX				410													410					99.76
A0103KPN.tsv.amrfinderplus	ncrA	Metal Resistance	NCBI Reference Gene Database	2023-11-15.1	ABF61434.1	amrfinderplus	3.11.18	gene_presence_detected	NICKEL	100.0			NICKEL				432													432					100.0
A0103KPN.tsv.amrfinderplus	ncrB	nickel-sensing transcriptional repressor NcrB	NCBI Reference Gene Database	2023-11-15.1	ABF61435.1	amrfinderplus	3.11.18	gene_presence_detected	NICKEL	100.0			NICKEL				89													89					100.0
A0103KPN.tsv.amrfinderplus	ncrC	Ni(II)/Co(II) efflux transporter permease subunit NcrC	NCBI Reference Gene Database	2023-11-15.1	ADF64798.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/NICKEL	100.0			COPPER/NICKEL				376													376					100.0
A0103KPN.tsv.amrfinderplus	ncrY	nickel resistance OB fold protein NcrY	NCBI Reference Gene Database	2023-11-15.1	ABF61437.1	amrfinderplus	3.11.18	gene_presence_detected	NICKEL	100.0			NICKEL				140													140					100.0
A0103KPN.tsv.amrfinderplus	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NCBI Reference Gene Database	2023-11-15.1	WP_002914189.1	amrfinderplus	3.11.18	gene_presence_detected	PHENICOL/QUINOLONE	100.0			PHENICOL/QUINOLONE				391													391					100.0
A0103KPN.tsv.amrfinderplus	oqxB19	multidrug efflux RND transporter permease subunit OqxB19	NCBI Reference Gene Database	2023-11-15.1	WP_004149399.1	amrfinderplus	3.11.18	gene_presence_detected	PHENICOL/QUINOLONE	100.0			PHENICOL/QUINOLONE				1050													1050					100.0
A0103KPN.tsv.amrfinderplus	pcoA	multicopper oxidase PcoA	NCBI Reference Gene Database	2023-11-15.1	CAA58525.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	61.98			COPPER				375													605					96.27
A0103KPN.tsv.amrfinderplus	pcoB	copper-binding protein PcoB	NCBI Reference Gene Database	2023-11-15.1	CAA58526.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				296													296					100.0
A0103KPN.tsv.amrfinderplus	pcoC	copper resistance system metallochaperone PcoC	NCBI Reference Gene Database	2023-11-15.1	CAA58527.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				126													126					100.0
A0103KPN.tsv.amrfinderplus	pcoD	copper resistance inner membrane protein PcoD	NCBI Reference Gene Database	2023-11-15.1	CAA58528.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				309													309					99.68
A0103KPN.tsv.amrfinderplus	pcoE	copper resistance system metallochaperone PcoE	NCBI Reference Gene Database	2023-11-15.1	CAA58532.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				144													144					94.44
A0103KPN.tsv.amrfinderplus	pcoR	copper response regulator transcription factor PcoR	NCBI Reference Gene Database	2023-11-15.1	CAA58529.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				226													226					100.0
A0103KPN.tsv.amrfinderplus	pcoS	copper resistance membrane spanning protein PcoS	NCBI Reference Gene Database	2023-11-15.1	CAA58530.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				466													466					99.14
A0103KPN.tsv.amrfinderplus	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	NCBI Reference Gene Database	2023-11-15.1	WP_014386481.1	amrfinderplus	3.11.18	gene_presence_detected	QUINOLONE	100.0			QUINOLONE				214													214					100.0
A0103KPN.tsv.amrfinderplus	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NCBI Reference Gene Database	2023-11-15.1	AAD11749.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				1048													1048					98.85
A0103KPN.tsv.amrfinderplus	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NCBI Reference Gene Database	2023-11-15.1	AAD11748.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				430													430					97.91
A0103KPN.tsv.amrfinderplus	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NCBI Reference Gene Database	2023-11-15.1	SPD96884.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				461													461					100.0
A0103KPN.tsv.amrfinderplus	silE	silver-binding protein SilE	NCBI Reference Gene Database	2023-11-15.1	AAD11743.1	amrfinderplus	3.11.18	gene_presence_detected	SILVER	100.0			SILVER				143													143					91.61
A0103KPN.tsv.amrfinderplus	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NCBI Reference Gene Database	2023-11-15.1	KGL71342.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				117													117					99.15
A0103KPN.tsv.amrfinderplus	silP	Ag(+)-translocating P-type ATPase SilP	NCBI Reference Gene Database	2023-11-15.1	AAD11750.1	amrfinderplus	3.11.18	gene_presence_detected	SILVER	99.64			SILVER				824													824					94.18
A0103KPN.tsv.amrfinderplus	silR	copper/silver response regulator transcription factor SilR	NCBI Reference Gene Database	2023-11-15.1	SPD96883.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				226													226					100.0
A0103KPN.tsv.amrfinderplus	silS	copper/silver sensor histidine kinase SilS	NCBI Reference Gene Database	2023-11-15.1	SPD96882.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER/SILVER	100.0			COPPER/SILVER				491													491					100.0
A0103KPN.tsv.amrfinderplus	terB	tellurium resistance membrane protein TerB	NCBI Reference Gene Database	2023-11-15.1	ACI12150.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				151													151					100.0
A0103KPN.tsv.amrfinderplus	terC	tellurium resistance membrane protein TerC	NCBI Reference Gene Database	2023-11-15.1	AAA98291.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				346													346					99.13
A0103KPN.tsv.amrfinderplus	terD	tellurium resistance membrane protein TerD	NCBI Reference Gene Database	2023-11-15.1	AAA98292.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				192													192					98.44
A0103KPN.tsv.amrfinderplus	terE	tellurium resistance cAMP binding protein TerE	NCBI Reference Gene Database	2023-11-15.1	AAA98293.1	amrfinderplus	3.11.18	gene_presence_detected	TELLURIUM	100.0			TELLURIUM				191													191					98.95
A0103KPN.tsv.amrfinderplus	tet(A)	tetracycline efflux MFS transporter Tet(A)	NCBI Reference Gene Database	2023-11-15.1	WP_000804064.1	amrfinderplus	3.11.18	gene_presence_detected	TETRACYCLINE	100.0			TETRACYCLINE				399													399					100.0
A0104KPN.tsv.amrfinderplus	arsA	arsenite efflux transporter ATPase subunit ArsA	NCBI Reference Gene Database	2023-11-15.1	BAA24822.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENITE	100.0			ARSENIC				583													583					100.0
